TILENAME,RA_CENT,DEC_CENT
DES0302-8235,45.55772900,-82.59448100
DES0632-6913,98.19907300,-69.23059300
DES2039-7455,309.85009700,-74.92503700
DES1634-8746,248.64359800,-87.77225900
DES0626-2124,96.72025800,-21.40003700
DES1727-5622,261.83962600,-56.38059300
DES1827-6831,276.94938800,-68.51670400
DES0911-7205,137.80950500,-72.08614800
DES1400-7824,210.00985300,-78.41114800
DES1850-7413,282.69535500,-74.22781500
DES1954-7039,298.71014100,-70.65837000
DES2140-7619,325.11582400,-76.31948100
DES1124-8235,171.09373400,-82.59448100
DES1808-4249,272.17213500,-42.81670400
DES1816-5748,274.11987100,-57.80837000
DES2143-7455,325.93469200,-74.92503700
DES2236-1707,339.23982700,-17.11670400
DES2037-2041,309.33887400,-20.68614800
DES0616-3249,94.24607300,-32.82225900
DES1804-4957,271.17797600,-49.95559300
DES1806-4706,271.56650200,-47.10003700
DES0149-6956,27.41334700,-69.94448100
DES2004-6039,301.22820600,-60.66392600
DES0949-7948,147.42165200,-79.80559300
DES2218-1124,334.71824100,-11.40559300
DES2233-1832,338.25086300,-18.54448100
DES2331-1332,352.83792900,-13.54725900
DES1441-7824,220.42195900,-78.41114800
DES1820-7122,275.00011400,-71.37225900
DES2321-7330,350.46861500,-73.51392600
DES2213-8820,333.26175000,-88.33614800
DES1959-1124,299.76124300,-11.40559300
DES1835-4040,278.76519100,-40.67503700
DES1828-4914,277.18698100,-49.24170400
DES0212-7906,33.07800000,-79.10837000
DES0421-7619,65.34716300,-76.31948100
DES1607-7948,241.96596900,-79.80559300
DES2221-7039,335.35291600,-70.65837000
DES2221-7248,335.35432200,-72.80003700
DES0910-8549,137.54724500,-85.83059300
DES1404-8112,211.23318200,-81.20003700
DES1940-1624,295.09280800,-16.40281500
DES0700-3415,105.00428200,-34.25003700
DES0717-3749,109.29930700,-37.81948100
DES2059-3249,314.92688400,-32.82225900
DES2200-3249,330.21801400,-32.82225900
DES1811-4414,272.75687300,-44.24448100
DES2020-4623,305.01299300,-46.38614800
DES1956-4206,299.05474600,-42.10281500
DES0645-5123,101.44870700,-51.38337000
DES1816-5123,274.17107500,-51.38337000
DES1943-5414,295.76660100,-54.23892600
DES0232-7413,38.12367200,-74.22781500
DES0354-8030,58.67043800,-80.50281500
DES0624-6913,96.18589800,-69.23059300
DES2024-2332,306.14804900,-23.54170400
DES2137-2415,324.32975800,-24.25559300
DES2251-2041,342.91462500,-20.68614800
DES2322-2041,350.54547700,-20.68614800
DES1839-4206,279.81098800,-42.10281500
DES0740-5123,115.17498800,-51.38337000
DES0947-6831,146.96538700,-68.51670400
DES1622-6748,245.68276400,-67.80281500
DES1652-6748,253.24122500,-67.80281500
DES1728-6122,262.23364300,-61.37781500
DES1832-6248,278.12424000,-62.80559300
DES1857-6248,284.37256100,-62.80559300
DES1924-6913,291.10550700,-69.23059300
DES1935-2915,293.81948700,-29.25281500
DES2332-2832,353.01242200,-28.53892600
DES2204-3249,331.06752200,-32.82225900
DES2304-3832,346.18397500,-38.53337000
DES0711-5205,107.90422800,-52.09725900
DES0700-7742,105.03831600,-77.71392600
DES1004-7906,151.15580700,-79.10837000
DES1246-7330,191.71791000,-73.51392600
DES1300-7619,195.05830800,-76.31948100
DES0703-3957,105.93408000,-39.96114800
DES0739-4748,114.85548000,-47.81392600
DES1803-5914,270.89678500,-59.23614800
DES0404-6831,61.19670900,-68.51670400
DES1653-7039,253.40691400,-70.65837000
