TILENAME,RA_CENT,DEC_CENT
DES1002+1000,150.60117500,10.01107400
DES1411-2749,212.86496000,-27.82503700
DES0909-1332,137.49891600,-13.54725900
DES1308+1751,197.01897700,17.86385200
DES0847+0626,131.96426500,6.44163000
DES0926-2041,141.63635300,-20.68614800
DES1303+1709,195.91274800,17.14996300
DES1641-1458,250.49960700,-14.97503700
DES1444-3914,221.04856800,-39.24725900
DES1538-3415,234.55262600,-34.25003700
DES1705+0126,256.34739300,1.44440700
DES0934-2623,143.73565600,-26.39725900
DES1043+0209,160.75215900,2.15829600
DES1217+1252,184.47748100,12.86663000
DES1229+2126,187.25911100,21.43329600
DES1332+1751,203.01938000,17.86385200
DES1619-2249,244.96082900,-22.82781500
DES1022-3332,155.66433000,-33.53614800
DES0905-1832,136.37792400,-18.54448100
DES0915+0709,138.76222500,7.15551900
DES1022-2332,155.61840900,-23.54170400
DES1348-0707,207.09273500,-7.12225900
DES0941+2208,145.45628500,22.14718500
DES1116-1749,169.21949000,-17.83059300
DES1228-2124,187.19699100,-21.40003700
DES1405-1915,211.43253200,-19.25837000
DES1411-1124,212.86278500,-11.40559300
DES1455-1041,223.76300500,-10.69170400
DES0911+2751,137.86178300,27.85829600
DES1101+2043,165.34703200,20.71940700
DES1154+0126,178.50877000,1.44440700
DES1422-2041,215.65562000,-20.68614800
DES0920-2458,140.22318500,-24.96948100
DES1008-0915,152.24995500,-9.26392600
DES1456+0835,224.00539200,8.58329600
DES1610-0915,242.66532000,-9.26392600
DES1633-1332,248.38119500,-13.54725900
DES1620+0418,245.03181000,4.29996300
DES1157+1252,179.35155200,12.86663000
DES1302-2124,195.63126300,-21.40003700
DES1607+2834,241.78032900,28.57218500
DES1248-3415,192.23350100,-34.25003700
DES0754+0126,118.52304200,1.44440700
DES1101+0335,165.35135600,3.58607400
DES1233+0709,188.40721300,7.15551900
DES1337-3914,204.45557600,-39.24725900
DES1547-2832,236.80111000,-28.53892600
DES1145+0835,176.35503300,8.58329600
DES1256+2708,194.18279500,27.14440700
DES1505-2958,226.49140900,-29.96670400
DES0817-1332,124.28116100,-13.54725900
DES1029-1332,157.32554800,-13.54725900
DES0912+1417,138.21931200,14.29440700
DES1427-0833,216.75919300,-8.55003700
DES1102+1500,165.55526800,15.00829600
DES1601+1626,240.26100000,16.43607400
DES1633+1334,248.42799100,13.58051900
DES0951+2208,147.76855500,22.14718500
DES1620-0541,245.01749800,-5.69448100
DES1446-2124,221.70083000,-21.40003700
DES1557+2417,239.25181400,24.28885200
DES0845-0207,131.45722600,-2.12503700
DES1317+0626,199.49617700,6.44163000
DES0849-0833,132.29550600,-8.55003700
DES1025-0750,156.40704700,-7.83614800
DES1123+2708,170.91756500,27.14440700
DES1647+0335,251.90138300,3.58607400
DES0749+2043,117.26209100,20.71940700
DES0942-1541,145.61108000,-15.68892600
DES1107+0709,166.82243600,7.15551900
DES1118+0335,169.64309300,3.58607400
DES1405-1207,211.44610300,-12.11948100
DES1412-2332,213.24222500,-23.54170400
DES1636-1915,249.24279900,-19.25837000
DES0944-1832,146.16674200,-18.54448100
DES1602+1126,240.57534100,11.43885200
DES1249-0250,192.32927800,-2.83892600
DES1048-2749,162.00997400,-27.82503700
DES1416-4206,214.24048100,-42.10281500
DES1041-1207,160.33471300,-12.11948100
DES1114-3914,168.50409300,-39.24725900
DES1543+1834,235.83474500,18.57774100
DES1200-1415,180.17179500,-14.26114800
DES1118-1832,169.50930800,-18.54448100
DES1125+0001,171.28615900,0.01663000
DES1226-0750,186.67300100,-7.83614800
DES1156+0418,179.16863600,4.29996300
DES1143-4831,175.86728000,-48.52781500
DES1132-4914,173.05724400,-49.24170400
DES0756-0124,119.23419700,-1.41114800
DES0855-0958,133.90541900,-9.97781500
DES0956+0126,149.23002200,1.44440700
DES1047+1126,161.91285100,11.43885200
DES1218+2708,184.55580300,27.14440700
DES1320+0835,200.18021200,8.58329600
DES0934-1749,143.72255300,-17.83059300
DES1616+2126,244.01170700,21.43329600
DES1619+0043,244.84351600,0.73051900
DES1030+0001,157.72226900,0.01663000
DES1119-1207,169.82682800,-12.11948100
DES1312+0835,198.01428700,8.58329600
DES1434-1624,218.62411800,-16.40281500
DES1118-0915,169.60970500,-9.26392600
DES1146-1458,176.60102300,-14.97503700
DES1240+0626,190.15665700,6.44163000
DES1023-1458,155.90942000,-14.97503700
DES1038-1958,159.58181900,-19.97225900
DES1425-3415,216.41585800,-34.25003700
DES0837+2625,129.45183000,26.43051900
DES1309+0500,197.35267000,5.01385200
DES1434-2332,218.69312700,-23.54170400
